genero,nombreCurso,nota,periodo
Masculino,Formación Ciudadana I : Identidades y Pluralismo,1.9,2022-03-01T00:00:00.000Z
Masculino,Formación Ciudadana I : Identidades y Pluralismo,2.5,2022-03-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,0.7,2022-03-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,4.1,2022-03-01T00:00:00.000Z
Femenino,Electiva profesional 4,0.9,2021-01-01T00:00:00.000Z
Masculino,Electiva profesional 4,0.4,2021-01-01T00:00:00.000Z
Femenino,Electiva profesional 4,2.3,2021-01-01T00:00:00.000Z
Masculino,Electiva profesional 4,2.5,2021-01-01T00:00:00.000Z
0,Electiva profesional 4,0.7,2021-01-01T00:00:00.000Z
Masculino,Redes e Infraestructura,1.6,2023-03-01T00:00:00.000Z
Femenino,Redes e Infraestructura,3.2,2023-03-01T00:00:00.000Z
Masculino,Redes e Infraestructura,3.5,2023-03-01T00:00:00.000Z
Femenino,Redes e Infraestructura,3.4,2023-03-01T00:00:00.000Z
Femenino,Redes e Infraestructura,0.5,2023-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,2.8,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,0.5,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,4.6,2022-03-01T00:00:00.000Z
Masculino,Electiva Profesional 5,1.5,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,4.4,2022-03-01T00:00:00.000Z
Masculino,Electiva Profesional 1,3.7,2021-03-01T00:00:00.000Z
Masculino,Electiva Profesional 1,3.3,2021-03-01T00:00:00.000Z
Masculino,Electiva Profesional 1,0.3,2021-03-01T00:00:00.000Z
Femenino,Electiva Profesional 1,4.0,2021-03-01T00:00:00.000Z
Masculino,Electiva Profesional 1,4.7,2021-03-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,2.2,2024-03-01T00:00:00.000Z
Masculino,Formación Ciudadana I : Identidades y Pluralismo,3.9,2024-03-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,2.9,2024-03-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,2.5,2024-03-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,4.2,2024-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,3.6,2023-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,3.7,2023-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,3.0,2023-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,3.4,2023-03-01T00:00:00.000Z
Masculino,Matemáticas Fundamentales,3.2,2023-03-01T00:00:00.000Z
Masculino,Seminario de Ing. de Datos e IA,4.7,2022-01-01T00:00:00.000Z
Masculino,Seminario de Ing. de Datos e IA,3.3,2022-01-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,4.7,2022-01-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,5.0,2022-01-01T00:00:00.000Z
Masculino,Seminario de Ing. de Datos e IA,0.5,2022-01-01T00:00:00.000Z
Masculino,Electiva Profesional 1,1.1,2021-01-01T00:00:00.000Z
Masculino,Electiva Profesional 1,2.6,2021-01-01T00:00:00.000Z
Femenino,Electiva Profesional 1,4.7,2021-01-01T00:00:00.000Z
Femenino,Electiva Profesional 1,3.5,2021-01-01T00:00:00.000Z
Masculino,Electiva Profesional 1,3.6,2021-01-01T00:00:00.000Z
Femenino,Ingles 2,0.7,2024-01-01T00:00:00.000Z
Femenino,Ingles 2,3.2,2024-01-01T00:00:00.000Z
Masculino,Ingles 2,4.8,2024-01-01T00:00:00.000Z
Femenino,Ingles 2,4.9,2024-01-01T00:00:00.000Z
Masculino,Ingles 2,2.8,2024-01-01T00:00:00.000Z
Masculino,Innovación y Emprendimiento,3.3,2022-03-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,4.3,2022-03-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,2.5,2022-03-01T00:00:00.000Z
Masculino,Innovación y Emprendimiento,1.2,2022-03-01T00:00:00.000Z
Masculino,Innovación y Emprendimiento,3.9,2022-03-01T00:00:00.000Z
Femenino,Programación,1.2,2023-01-01T00:00:00.000Z
Masculino,Programación,0.3,2023-01-01T00:00:00.000Z
Femenino,Programación,3.9,2023-01-01T00:00:00.000Z
Femenino,Programación,1.6,2023-01-01T00:00:00.000Z
Femenino,Programación,4.3,2023-01-01T00:00:00.000Z
Femenino,Electiva de Lectura y Escritura,0.6,2023-03-01T00:00:00.000Z
Masculino,Electiva de Lectura y Escritura,1.1,2023-03-01T00:00:00.000Z
Femenino,Electiva de Lectura y Escritura,1.2,2023-03-01T00:00:00.000Z
Femenino,Electiva de Lectura y Escritura,5.0,2023-03-01T00:00:00.000Z
Masculino,Electiva de Lectura y Escritura,4.9,2023-03-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,4.1,2024-01-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,4.0,2024-01-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,1.1,2024-01-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,2.0,2024-01-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,0.8,2024-01-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,1.5,2021-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,1.7,2021-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,3.0,2021-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,4.6,2021-03-01T00:00:00.000Z
Femenino,Matemáticas Fundamentales,3.2,2021-03-01T00:00:00.000Z
Masculino,Ingles 2,3.6,2023-03-01T00:00:00.000Z
Masculino,Ingles 2,1.8,2023-03-01T00:00:00.000Z
Femenino,Ingles 2,4.3,2023-03-01T00:00:00.000Z
Femenino,Ingles 2,2.1,2023-03-01T00:00:00.000Z
Femenino,Ingles 2,1.4,2023-03-01T00:00:00.000Z
Femenino,Electiva profesional 4,1.5,2023-03-01T00:00:00.000Z
Masculino,Electiva profesional 4,3.0,2023-03-01T00:00:00.000Z
Femenino,Electiva profesional 4,4.8,2023-03-01T00:00:00.000Z
Femenino,Electiva profesional 4,1.0,2023-03-01T00:00:00.000Z
Masculino,Electiva profesional 4,3.8,2023-03-01T00:00:00.000Z
Masculino,Electiva Profesional 2,4.1,2022-01-01T00:00:00.000Z
Masculino,Electiva Profesional 2,4.9,2022-01-01T00:00:00.000Z
Femenino,Electiva Profesional 2,0.6,2022-01-01T00:00:00.000Z
Femenino,Electiva Profesional 2,1.3,2022-01-01T00:00:00.000Z
Femenino,Electiva Profesional 2,4.8,2022-01-01T00:00:00.000Z
Masculino,Comunicación Oral y Escrita,2.3,2023-03-01T00:00:00.000Z
Femenino,Comunicación Oral y Escrita,4.1,2023-03-01T00:00:00.000Z
Femenino,Comunicación Oral y Escrita,4.2,2023-03-01T00:00:00.000Z
Femenino,Comunicación Oral y Escrita,3.1,2023-03-01T00:00:00.000Z
Femenino,Comunicación Oral y Escrita,2.2,2023-03-01T00:00:00.000Z
Femenino,Cálculo 1,0.0,2023-03-01T00:00:00.000Z
Masculino,Cálculo 1,3.0,2023-03-01T00:00:00.000Z
Femenino,Cálculo 1,3.3,2023-03-01T00:00:00.000Z
Masculino,Cálculo 1,1.7,2023-03-01T00:00:00.000Z
Femenino,Cálculo 1,2.8,2023-03-01T00:00:00.000Z
Femenino,Redes e Infraestructura,3.3,2021-03-01T00:00:00.000Z
Femenino,Redes e Infraestructura,4.5,2021-03-01T00:00:00.000Z
Femenino,Redes e Infraestructura,2.6,2021-03-01T00:00:00.000Z
Femenino,Redes e Infraestructura,2.7,2021-03-01T00:00:00.000Z
Femenino,Redes e Infraestructura,1.6,2021-03-01T00:00:00.000Z
Masculino,Ingles 4,1.8,2024-03-01T00:00:00.000Z
Masculino,Ingles 4,4.3,2024-03-01T00:00:00.000Z
Femenino,Ingles 4,2.4,2024-03-01T00:00:00.000Z
Femenino,Ingles 4,2.7,2024-03-01T00:00:00.000Z
Femenino,Ingles 4,1.0,2024-03-01T00:00:00.000Z
Masculino,Seminario de Ing. de Datos e IA,2.3,2024-01-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,0.5,2024-01-01T00:00:00.000Z
Masculino,Seminario de Ing. de Datos e IA,1.5,2024-01-01T00:00:00.000Z
Masculino,Seminario de Ing. de Datos e IA,0.2,2024-01-01T00:00:00.000Z
Femenino,Seminario de Ing. de Datos e IA,2.3,2024-01-01T00:00:00.000Z
Masculino,Sistemas Operativos,1.8,2021-03-01T00:00:00.000Z
Masculino,Sistemas Operativos,4.2,2021-03-01T00:00:00.000Z
Masculino,Sistemas Operativos,0.3,2021-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,4.4,2021-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,0.9,2021-03-01T00:00:00.000Z
Masculino,ETL (Extracción Transformación y Carga),3.2,2022-01-01T00:00:00.000Z
Femenino,ETL (Extracción Transformación y Carga),0.1,2022-01-01T00:00:00.000Z
Masculino,ETL (Extracción Transformación y Carga),2.6,2022-01-01T00:00:00.000Z
Femenino,ETL (Extracción Transformación y Carga),3.5,2022-01-01T00:00:00.000Z
Masculino,ETL (Extracción Transformación y Carga),1.8,2022-01-01T00:00:00.000Z
Masculino,Comunicación Oral y Escrita,3.7,2024-03-01T00:00:00.000Z
Masculino,Comunicación Oral y Escrita,2.0,2024-03-01T00:00:00.000Z
Femenino,Comunicación Oral y Escrita,1.7,2024-03-01T00:00:00.000Z
Femenino,Comunicación Oral y Escrita,4.5,2024-03-01T00:00:00.000Z
Masculino,Comunicación Oral y Escrita,4.7,2024-03-01T00:00:00.000Z
Masculino,Lógica y Matemática Discreta,0.8,2024-01-01T00:00:00.000Z
Femenino,Lógica y Matemática Discreta,2.3,2024-01-01T00:00:00.000Z
Femenino,Lógica y Matemática Discreta,1.1,2024-01-01T00:00:00.000Z
Femenino,Lógica y Matemática Discreta,3.6,2024-01-01T00:00:00.000Z
Femenino,Lógica y Matemática Discreta,4.2,2024-01-01T00:00:00.000Z
Femenino,Administración para Ingenieros,2.7,2021-03-01T00:00:00.000Z
Masculino,Administración para Ingenieros,4.0,2021-03-01T00:00:00.000Z
Masculino,Administración para Ingenieros,2.9,2021-03-01T00:00:00.000Z
Femenino,Administración para Ingenieros,4.8,2021-03-01T00:00:00.000Z
Femenino,Administración para Ingenieros,1.0,2021-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,3.0,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,2.7,2022-03-01T00:00:00.000Z
Masculino,Electiva Profesional 5,0.3,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,0.2,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,4.4,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 2,2.2,2024-03-01T00:00:00.000Z
Femenino,Electiva Profesional 2,2.1,2024-03-01T00:00:00.000Z
0,Electiva Profesional 2,4.7,2024-03-01T00:00:00.000Z
Masculino,Electiva Profesional 2,0.3,2024-03-01T00:00:00.000Z
Masculino,Electiva Profesional 2,2.4,2024-03-01T00:00:00.000Z
Masculino,Programación,3.0,2021-01-01T00:00:00.000Z
Femenino,Programación,0.2,2021-01-01T00:00:00.000Z
Femenino,Programación,4.3,2021-01-01T00:00:00.000Z
Femenino,Programación,2.1,2021-01-01T00:00:00.000Z
Femenino,Programación,0.4,2021-01-01T00:00:00.000Z
Masculino,Electiva profesional 4,2.6,2021-01-01T00:00:00.000Z
Femenino,Electiva profesional 4,2.6,2021-01-01T00:00:00.000Z
Masculino,Electiva profesional 4,3.5,2021-01-01T00:00:00.000Z
Femenino,Electiva profesional 4,2.3,2021-01-01T00:00:00.000Z
Masculino,Electiva profesional 4,1.6,2021-01-01T00:00:00.000Z
Femenino,Legislación y Ética en el Manejo de Datos,3.7,2021-01-01T00:00:00.000Z
Femenino,Legislación y Ética en el Manejo de Datos,2.0,2021-01-01T00:00:00.000Z
Femenino,Legislación y Ética en el Manejo de Datos,4.4,2021-01-01T00:00:00.000Z
Masculino,Legislación y Ética en el Manejo de Datos,2.0,2021-01-01T00:00:00.000Z
Masculino,Legislación y Ética en el Manejo de Datos,3.6,2021-01-01T00:00:00.000Z
Femenino,Estadística y Probabilidad II,4.6,2021-01-01T00:00:00.000Z
Femenino,Estadística y Probabilidad II,4.9,2021-01-01T00:00:00.000Z
Femenino,Estadística y Probabilidad II,0.4,2021-01-01T00:00:00.000Z
Femenino,Estadística y Probabilidad II,1.0,2021-01-01T00:00:00.000Z
Femenino,Estadística y Probabilidad II,0.2,2021-01-01T00:00:00.000Z
Masculino,Formación Ciudadana I : Identidades y Pluralismo,2.3,2024-01-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,3.3,2024-01-01T00:00:00.000Z
Masculino,Formación Ciudadana I : Identidades y Pluralismo,0.5,2024-01-01T00:00:00.000Z
Masculino,Formación Ciudadana I : Identidades y Pluralismo,3.4,2024-01-01T00:00:00.000Z
Masculino,Formación Ciudadana I : Identidades y Pluralismo,3.8,2024-01-01T00:00:00.000Z
Masculino,Programación,4.9,2023-03-01T00:00:00.000Z
Masculino,Programación,1.6,2023-03-01T00:00:00.000Z
Femenino,Programación,2.4,2023-03-01T00:00:00.000Z
Femenino,Programación,4.3,2023-03-01T00:00:00.000Z
Masculino,Programación,4.9,2023-03-01T00:00:00.000Z
Femenino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3.4,2021-03-01T00:00:00.000Z
Femenino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3.7,2021-03-01T00:00:00.000Z
Masculino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3.0,2021-03-01T00:00:00.000Z
Masculino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,0.8,2021-03-01T00:00:00.000Z
Femenino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,0.8,2021-03-01T00:00:00.000Z
Femenino,Formación Ciudadana II: Sociedad y Estado,1.8,2024-01-01T00:00:00.000Z
Masculino,Formación Ciudadana II: Sociedad y Estado,3.1,2024-01-01T00:00:00.000Z
Femenino,Formación Ciudadana II: Sociedad y Estado,0.7,2024-01-01T00:00:00.000Z
Femenino,Formación Ciudadana II: Sociedad y Estado,4.8,2024-01-01T00:00:00.000Z
Masculino,Formación Ciudadana II: Sociedad y Estado,3.8,2024-01-01T00:00:00.000Z
Masculino,Ingles 1,4.1,2021-03-01T00:00:00.000Z
Masculino,Ingles 1,5.0,2021-03-01T00:00:00.000Z
Femenino,Ingles 1,3.7,2021-03-01T00:00:00.000Z
Femenino,Ingles 1,0.7,2021-03-01T00:00:00.000Z
Masculino,Ingles 1,3.6,2021-03-01T00:00:00.000Z
Masculino,Electiva de Lectura y Escritura,4.7,2021-01-01T00:00:00.000Z
Femenino,Electiva de Lectura y Escritura,2.7,2021-01-01T00:00:00.000Z
Femenino,Electiva de Lectura y Escritura,5.0,2021-01-01T00:00:00.000Z
Masculino,Electiva de Lectura y Escritura,2.7,2021-01-01T00:00:00.000Z
Masculino,Electiva de Lectura y Escritura,3.5,2021-01-01T00:00:00.000Z
Femenino,Sistemas Operativos,2.5,2022-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,2.7,2022-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,0.4,2022-03-01T00:00:00.000Z
Masculino,Sistemas Operativos,3.2,2022-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,3.4,2022-03-01T00:00:00.000Z
Femenino,Cálculo 1,2.1,2023-01-01T00:00:00.000Z
Masculino,Cálculo 1,4.3,2023-01-01T00:00:00.000Z
Femenino,Cálculo 1,4.5,2023-01-01T00:00:00.000Z
Masculino,Cálculo 1,4.5,2023-01-01T00:00:00.000Z
Masculino,Cálculo 1,4.8,2023-01-01T00:00:00.000Z
Masculino,Legislación y Ética en el Manejo de Datos,4.9,2021-03-01T00:00:00.000Z
Femenino,Legislación y Ética en el Manejo de Datos,1.0,2021-03-01T00:00:00.000Z
Femenino,Legislación y Ética en el Manejo de Datos,1.2,2021-03-01T00:00:00.000Z
Femenino,Legislación y Ética en el Manejo de Datos,4.5,2021-03-01T00:00:00.000Z
Femenino,Legislación y Ética en el Manejo de Datos,2.7,2021-03-01T00:00:00.000Z
Masculino,Estadística y Probabilidad I,4.5,2024-01-01T00:00:00.000Z
Femenino,Estadística y Probabilidad I,2.2,2024-01-01T00:00:00.000Z
Masculino,Estadística y Probabilidad I,0.0,2024-01-01T00:00:00.000Z
Femenino,Estadística y Probabilidad I,0.2,2024-01-01T00:00:00.000Z
Masculino,Estadística y Probabilidad I,4.2,2024-01-01T00:00:00.000Z
Masculino,Cálculo 1,2.7,2024-01-01T00:00:00.000Z
Femenino,Cálculo 1,3.6,2024-01-01T00:00:00.000Z
Masculino,Cálculo 1,0.6,2024-01-01T00:00:00.000Z
Femenino,Cálculo 1,1.5,2024-01-01T00:00:00.000Z
Femenino,Cálculo 1,4.5,2024-01-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,4.9,2023-01-01T00:00:00.000Z
Masculino,Innovación y Emprendimiento,1.9,2023-01-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,2.2,2023-01-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,2.1,2023-01-01T00:00:00.000Z
Femenino,Innovación y Emprendimiento,0.1,2023-01-01T00:00:00.000Z
Masculino,Cálculo 1,0.9,2021-03-01T00:00:00.000Z
Femenino,Cálculo 1,2.1,2021-03-01T00:00:00.000Z
Femenino,Cálculo 1,2.3,2021-03-01T00:00:00.000Z
Femenino,Cálculo 1,4.8,2021-03-01T00:00:00.000Z
Femenino,Cálculo 1,4.1,2021-03-01T00:00:00.000Z
Masculino,Electiva Profesional 3,3.1,2023-01-01T00:00:00.000Z
Femenino,Electiva Profesional 3,2.6,2023-01-01T00:00:00.000Z
Masculino,Electiva Profesional 3,2.1,2023-01-01T00:00:00.000Z
Femenino,Electiva Profesional 3,1.7,2023-01-01T00:00:00.000Z
Femenino,Electiva Profesional 3,1.5,2023-01-01T00:00:00.000Z
Masculino,Estadística y Probabilidad I,4.2,2022-01-01T00:00:00.000Z
Masculino,Estadística y Probabilidad I,0.2,2022-01-01T00:00:00.000Z
Femenino,Estadística y Probabilidad I,3.0,2022-01-01T00:00:00.000Z
Masculino,Estadística y Probabilidad I,4.2,2022-01-01T00:00:00.000Z
Masculino,Estadística y Probabilidad I,1.0,2022-01-01T00:00:00.000Z
Femenino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,0.1,2023-03-01T00:00:00.000Z
Femenino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3.2,2023-03-01T00:00:00.000Z
Masculino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,1.0,2023-03-01T00:00:00.000Z
Femenino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3.3,2023-03-01T00:00:00.000Z
Femenino,Introducción a la Ingeniería de Datos e Inteligencia Artificial,0.3,2023-03-01T00:00:00.000Z
Femenino,Ingles 5,5.0,2022-01-01T00:00:00.000Z
Femenino,Ingles 5,3.7,2022-01-01T00:00:00.000Z
Femenino,Ingles 5,2.9,2022-01-01T00:00:00.000Z
Femenino,Ingles 5,4.8,2022-01-01T00:00:00.000Z
Femenino,Ingles 5,2.6,2022-01-01T00:00:00.000Z
Masculino,Electiva profesional 4,4.5,2021-03-01T00:00:00.000Z
Femenino,Electiva profesional 4,4.5,2021-03-01T00:00:00.000Z
Masculino,Electiva profesional 4,3.6,2021-03-01T00:00:00.000Z
Femenino,Electiva profesional 4,5.0,2021-03-01T00:00:00.000Z
Masculino,Electiva profesional 4,3.9,2021-03-01T00:00:00.000Z
Femenino,Electiva de  Ciencias Sociales,3.3,2021-01-01T00:00:00.000Z
Femenino,Electiva de  Ciencias Sociales,3.8,2021-01-01T00:00:00.000Z
Masculino,Electiva de  Ciencias Sociales,1.7,2021-01-01T00:00:00.000Z
Femenino,Electiva de  Ciencias Sociales,3.6,2021-01-01T00:00:00.000Z
Femenino,Electiva de  Ciencias Sociales,3.0,2021-01-01T00:00:00.000Z
Femenino,Electiva Profesional 5,0.8,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,2.5,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,5.0,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,1.2,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 5,4.6,2022-03-01T00:00:00.000Z
Femenino,Electiva Profesional 2,0.2,2024-01-01T00:00:00.000Z
Femenino,Electiva Profesional 2,3.0,2024-01-01T00:00:00.000Z
Masculino,Electiva Profesional 2,1.9,2024-01-01T00:00:00.000Z
Femenino,Electiva Profesional 2,2.0,2024-01-01T00:00:00.000Z
Femenino,Electiva Profesional 2,4.5,2024-01-01T00:00:00.000Z
Masculino,Seguridad de la Información,1.9,2023-01-01T00:00:00.000Z
Femenino,Seguridad de la Información,0.8,2023-01-01T00:00:00.000Z
Masculino,Seguridad de la Información,3.0,2023-01-01T00:00:00.000Z
Femenino,Seguridad de la Información,4.9,2023-01-01T00:00:00.000Z
Femenino,Seguridad de la Información,0.4,2023-01-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,2.2,2021-03-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,0.7,2021-03-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,2.8,2021-03-01T00:00:00.000Z
Masculino,Formación Ciudadana I : Identidades y Pluralismo,2.5,2021-03-01T00:00:00.000Z
Femenino,Formación Ciudadana I : Identidades y Pluralismo,4.3,2021-03-01T00:00:00.000Z
Femenino,Ingles 4,1.6,2023-01-01T00:00:00.000Z
Femenino,Ingles 4,2.2,2023-01-01T00:00:00.000Z
Masculino,Ingles 4,4.1,2023-01-01T00:00:00.000Z
Femenino,Ingles 4,0.6,2023-01-01T00:00:00.000Z
Femenino,Ingles 4,1.9,2023-01-01T00:00:00.000Z
Masculino,Almacenamiento de datos,0.0,2021-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,1.3,2021-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,2.3,2021-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,2.0,2021-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,1.0,2021-01-01T00:00:00.000Z
Femenino,Sistemas Operativos,0.6,2023-03-01T00:00:00.000Z
Masculino,Sistemas Operativos,4.4,2023-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,0.5,2023-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,1.8,2023-03-01T00:00:00.000Z
Femenino,Sistemas Operativos,0.8,2023-03-01T00:00:00.000Z
Femenino,Formación Ciudadana II: Sociedad y Estado,4.9,2023-01-01T00:00:00.000Z
Masculino,Formación Ciudadana II: Sociedad y Estado,3.6,2023-01-01T00:00:00.000Z
Femenino,Formación Ciudadana II: Sociedad y Estado,2.6,2023-01-01T00:00:00.000Z
Femenino,Formación Ciudadana II: Sociedad y Estado,2.3,2023-01-01T00:00:00.000Z
Femenino,Formación Ciudadana II: Sociedad y Estado,4.7,2023-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,0.1,2023-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,0.1,2023-01-01T00:00:00.000Z
Masculino,Almacenamiento de datos,3.6,2023-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,3.1,2023-01-01T00:00:00.000Z
Femenino,Almacenamiento de datos,4.3,2023-01-01T00:00:00.000Z
Femenino,Seguridad de la Información,3.6,2022-03-01T00:00:00.000Z
